"lambda","profiles","nOnePoint","nTwoPoint","nMultiPoint","nCalibrated","calibratedFrequency","nDegenerate","nMultiPointDegenerate","meanPStar","medianPStar","q1PStar","q3PStar"
0.5,1800,150,331,1319,778,0.43222222222222223,1022,541,1.8585539752528086,1.3032145960034753,1.0741138560687433,1.9477708844322608
0.6,1800,151,540,1109,653,0.36277777777777775,1147,456,2.524237064628671,1.825804706518799,1.5028386953133697,2.862595419847328
0.7,1800,212,584,1004,689,0.3827777777777778,1111,315,3.293468439011058,2.5510204081632653,1.9619241389332946,3.9244186046511618
0.8,1800,307,645,848,599,0.3327777777777778,1201,249,4.040881055276392,3.2506621719239104,2.4807056229327453,4.775380261761585
