"eta","profiles","nOnePoint","nTwoPoint","nMultiPoint","nCalibrated","calibratedFrequency","nDegenerate","nMultiPointDegenerate","meanPStar","medianPStar","q1PStar","q3PStar"
1,2400,91,559,1750,1110,0.4625,1290,640,2.5428876153378357,2.1034590215020255,1.4945200929923614,3.057065217391304
2,2400,228,793,1379,863,0.3595833333333333,1537,516,2.9417187425966573,2.229562345169281,1.5112504197917833,3.597122302158273
3,2400,501,748,1151,746,0.31083333333333335,1654,405,3.247534550472483,2.305721605465414,1.5938606847697756,3.7087912087912085
