"m","nCalibrated","medianPStar","q1PStar","q3PStar"
3,132,1.3223626212165736,1.101052116466846,1.5938606847697756
5,1144,3.240518482957273,2.071187480822338,4.9504950495049505
7,1443,1.8931426167437946,1.3851836650933715,2.5037091988130564
