"m","nVsP2","diffFrequencyVsP2","medianRelativeGainVsP2","nVsCI1","diffFrequencyVsCI1","medianRelativeGainVsCI1"
3,107,0,0.18478146821417285,78,0,0.10103993387967014
5,416,0.1346153846153846,0.7675131023909811,315,0.23492063492063492,0.9751819685405707
7,870,0.18275862068965518,1.3368079532202852,563,0.16341030195381884,1.3393276474630038
